Source,Target,Weight,Type,origine,servizi
ade,c_roma,4,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; Verifica Partita IVA; ANNCSU – Anagrafe Immobiliare; Dati Catastali"
ade,c_napoli,3,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; ANNCSU – Anagrafe Immobiliare; Dati Catastali"
ade,c_bologna,3,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; ANNCSU – Anagrafe Immobiliare; Dati Catastali"
ade,c_genova,2,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; Dati Catastali"
ade,c_padova,1,Directed,ricostruita,VCF1 – Verifica Codice Fiscale
ade,comuni_agg,4,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; Verifica Partita IVA; ANNCSU – Anagrafe Immobiliare; Dati Catastali"
ade,r_lombardia,3,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; ANNCSU – Anagrafe Immobiliare; Dati Catastali"
ade,r_lazio,3,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; ANNCSU – Anagrafe Immobiliare; Dati Catastali"
ade,r_campania,2,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; Dati Catastali"
ade,agid,1,Directed,ricostruita,VCF1 – Verifica Codice Fiscale
ade,inail,2,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; Verifica Partita IVA"
ade,mef,3,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; Verifica Partita IVA; ANNCSU – Anagrafe Immobiliare"
ade,unioncamere,2,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; Verifica Partita IVA"
ade,anac,2,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; Verifica Partita IVA"
ade,istat,1,Directed,ricostruita,ANNCSU – Anagrafe Immobiliare
agid,min_interno,1,Directed,ricostruita,INAD – Domicili Digitali
agid,inps,2,Directed,ricostruita,"INAD – Domicili Digitali; Indice PA (IPA)"
agid,ade,2,Directed,ricostruita,"INAD – Domicili Digitali; Indice PA (IPA)"
agid,c_milano,2,Directed,ricostruita,"INAD – Domicili Digitali; Indice PA (IPA)"
agid,c_roma,2,Directed,ricostruita,"INAD – Domicili Digitali; Indice PA (IPA)"
agid,c_napoli,1,Directed,ricostruita,INAD – Domicili Digitali
